code,name,total,on_track,at_risk,vulnerable,vulnerable_percentage
21001,Alfredton,154,121,23,10,0.06
21002,Ballarat,116,104,7,5,0.04
21003,Ballarat - North,282,245,26,11,0.04
21004,Ballarat - South,281,224,38,19,0.07
21005,Buninyong,107,84,16,7,0.07
21006,Delacombe,103,83,12,8,0.08
21007,Smythes Creek,50,42,6,2,0.04
21008,Wendouree - Miners Rest,182,145,16,21,0.12
21009,Bacchus Marsh Region,60,54,6,0,0.0
21010,Creswick - Clunes,82,75,4,3,0.04
21011,Daylesford,59,44,14,1,0.02
21012,Gordon (Vic.),57,48,4,5,0.09
21013,Avoca,32,28,3,1,0.03
21014,Beaufort,43,37,4,2,0.05
21015,Golden Plains - North,54,41,13,0,0.0
21016,Maryborough (Vic.),85,56,17,12,0.14
21017,Maryborough Region,43,32,6,5,0.12
21018,Bendigo,170,128,20,22,0.13
21019,California Gully - Eaglehawk,194,115,45,34,0.18
21020,East Bendigo - Kennington,151,128,16,7,0.05
21021,Flora Hill - Spring Gully,91,77,8,6,0.07
21022,Kangaroo Flat - Golden Square,237,184,35,18,0.08
21023,Maiden Gully,97,86,8,3,0.03
21024,Strathfieldsaye,155,130,22,3,0.02
21025,White Hills - Ascot,203,167,22,14,0.07
21026,Bendigo Region - South,100,86,11,3,0.03
21027,Castlemaine,90,52,26,12,0.13
21028,Castlemaine Region,63,52,10,1,0.02
21029,Heathcote,53,33,13,7,0.13
21030,Kyneton,107,95,8,4,0.04
21031,Woodend,97,87,9,1,0.01
21032,Bendigo Region - North,51,44,5,2,0.04
21033,Loddon,63,44,10,9,0.14
21034,Bannockburn,117,103,8,6,0.05
21035,Golden Plains - South,82,55,22,5,0.06
21036,Winchelsea,53,47,4,2,0.04
21037,Belmont,137,123,11,3,0.02
21038,Corio - Norlane,289,175,61,53,0.18
21039,Geelong,136,117,12,7,0.05
21040,Geelong West - Hamlyn Heights,243,178,45,20,0.08
21041,Grovedale,296,248,37,11,0.04
21042,Highton,228,199,22,7,0.03
21043,Lara,231,203,20,8,0.03
21044,Leopold,172,143,20,9,0.05
21045,Newcomb - Moolap,147,99,30,18,0.12
21046,Newtown (Vic.),124,102,16,6,0.05
21047,North Geelong - Bell Park,158,108,40,10,0.06
21048,Clifton Springs,159,137,12,10,0.06
21049,Lorne - Anglesea,47,37,8,2,0.04
21050,Ocean Grove - Barwon Heads,357,255,74,28,0.08
21051,Portarlington,62,43,6,13,0.21
21052,Point Lonsdale - Queenscliff,19,18,1,0,0.0
21053,Torquay,321,275,38,8,0.02
21054,Alexandra,45,41,3,1,0.02
21055,Euroa,49,41,8,0,0.0
21056,Kilmore - Broadford,173,141,28,4,0.02
21057,Mansfield (Vic.),82,73,9,0,0.0
21058,Nagambie,35,31,4,0,0.0
21059,Seymour,78,58,11,9,0.12
21060/21061,Seymour Region / Upper Yarra Valley,56,43,9,4,0.07
21062,Yea,34,28,5,1,0.03
21063,Benalla,90,76,8,6,0.07
21064,Benalla Region,29,23,4,2,0.07
21065,Rutherglen,37,29,4,4,0.11
21066,Wangaratta,220,187,29,4,0.02
21067,Wangaratta Region,104,86,14,4,0.04
21068,Beechworth,64,37,19,8,0.12
21069,Bright - Mount Beauty,84,61,15,8,0.1
21070,Chiltern - Indigo Valley,31,25,4,2,0.06
21071,Myrtleford,45,37,7,1,0.02
21072,Towong,58,47,8,3,0.05
21073,West Wodonga,220,175,29,16,0.07
21074,Wodonga,367,296,52,19,0.05
21075,Yackandandah,63,43,13,7,0.11
21076,Drouin,185,151,23,11,0.06
21077,Mount Baw Baw Region,58,37,12,9,0.16
21078,Trafalgar (Vic.),108,96,12,0,0.0
21079,Warragul,205,157,30,18,0.09
21080/21082,Alps - East / Bruthen - Omeo,95,75,14,6,0.06
21081,Bairnsdale,164,125,28,11,0.07
21084,Lakes Entrance,116,83,25,8,0.07
21085,Orbost,56,45,3,8,0.14
21086,Paynesville,47,38,6,3,0.06
21087/21092,Foster / Wilsons Promontory,90,64,18,8,0.09
21088/21091,French Island / Phillip Island,121,95,16,10,0.08
21089,Korumburra,133,103,19,11,0.08
21090,Leongatha,136,110,15,11,0.08
21093,Wonthaggi - Inverloch,242,191,30,21,0.09
21094,Churchill,157,122,19,16,0.1
21095,Moe - Newborough,196,140,30,26,0.13
21096,Morwell,168,93,19,56,0.33
21097,Traralgon,324,247,56,21,0.06
21098,Yallourn North - Glengarry,63,51,11,1,0.02
21100/21103,Longford - Loch Sport / Sale,241,191,32,18,0.07
21101,Maffra,194,156,25,13,0.07
21102,Rosedale,52,31,16,5,0.1
21104,Yarram,48,35,9,4,0.08
21105,Brunswick,162,141,18,3,0.02
21106,Brunswick East,47,46,1,0,0.0
21107,Brunswick West,114,88,17,9,0.08
21108,Coburg,299,258,30,11,0.04
21109,Pascoe Vale South,123,104,16,3,0.02
21110,Alphington - Fairfield,103,93,7,3,0.03
21111,Northcote,270,245,20,5,0.02
21112,Thornbury,183,154,16,13,0.07
21113,Ascot Vale,182,170,6,6,0.03
21114,Essendon - Aberfeldie,290,253,26,11,0.04
21115,Flemington,92,69,11,12,0.13
21116,Moonee Ponds,165,153,11,1,0.01
21117,Carlton,74,49,16,9,0.12
21118,Docklands,61,46,8,7,0.11
21119/21122,East Melbourne / Melbourne,95,62,15,18,0.19
21120/21121,Flemington Racecourse / Kensington (Vic.),121,89,20,12,0.1
21123,North Melbourne,133,104,18,11,0.08
21124,Parkville,33,29,1,3,0.09
21125,South Yarra - West,27,23,3,1,0.04
21126,Southbank,46,32,10,4,0.09
21128,Albert Park,161,151,8,2,0.01
21129,Elwood,136,122,7,7,0.05
21130/21131,Port Melbourne / Port Melbourne Industrial,152,143,6,3,0.02
21132,South Melbourne,79,67,6,6,0.08
21133,St Kilda,111,96,11,4,0.04
21134,St Kilda East,119,110,8,1,0.01
21135,Armadale,70,63,5,2,0.03
21136,Prahran - Windsor,83,78,5,0,0.0
21137,South Yarra - East,116,92,11,13,0.11
21138,Toorak,63,56,4,3,0.05
