code,name,total,on_track,at_risk,vulnerable,vulnerable_percentage
21001,Alfredton,154,112,23,19,0.12
21002,Ballarat,116,100,9,7,0.06
21003,Ballarat - North,282,237,24,21,0.07
21004,Ballarat - South,281,213,39,29,0.1
21005,Buninyong,107,83,13,11,0.1
21006,Delacombe,103,82,7,14,0.14
21007,Smythes Creek,50,36,9,5,0.1
21008,Wendouree - Miners Rest,182,136,11,35,0.19
21009,Bacchus Marsh Region,60,50,6,4,0.07
21010,Creswick - Clunes,82,74,4,4,0.05
21011,Daylesford,59,41,4,14,0.24
21012,Gordon (Vic.),57,44,8,5,0.09
21013,Avoca,32,24,3,5,0.16
21014,Beaufort,43,31,8,4,0.09
21015,Golden Plains - North,54,36,13,5,0.09
21016,Maryborough (Vic.),85,59,11,15,0.18
21017,Maryborough Region,43,30,5,8,0.19
21018,Bendigo,170,122,27,21,0.12
21019,California Gully - Eaglehawk,194,106,38,50,0.26
21020,East Bendigo - Kennington,151,131,10,10,0.07
21021,Flora Hill - Spring Gully,91,76,10,5,0.05
21022,Kangaroo Flat - Golden Square,237,197,26,14,0.06
21023,Maiden Gully,97,88,6,3,0.03
21024,Strathfieldsaye,155,139,11,5,0.03
21025,White Hills - Ascot,203,174,18,11,0.05
21026,Bendigo Region - South,100,86,9,5,0.05
21027,Castlemaine,90,49,21,20,0.22
21028,Castlemaine Region,63,44,14,5,0.08
21029,Heathcote,53,27,12,14,0.26
21030,Kyneton,107,97,5,5,0.05
21031,Woodend,97,87,8,2,0.02
21032,Bendigo Region - North,51,44,5,2,0.04
21033,Loddon,63,48,4,11,0.17
21034,Bannockburn,117,104,6,7,0.06
21035,Golden Plains - South,82,59,17,6,0.07
21036,Winchelsea,53,48,1,4,0.08
21037,Belmont,137,125,8,4,0.03
21038,Corio - Norlane,289,169,70,50,0.17
21039,Geelong,136,116,10,10,0.07
21040,Geelong West - Hamlyn Heights,243,196,35,12,0.05
21041,Grovedale,296,250,25,21,0.07
21042,Highton,228,195,18,15,0.07
21043,Lara,231,196,20,15,0.06
21044,Leopold,172,144,12,16,0.09
21045,Newcomb - Moolap,147,95,19,33,0.22
21046,Newtown (Vic.),124,107,11,6,0.05
21047,North Geelong - Bell Park,158,113,35,10,0.06
21048,Clifton Springs,159,142,7,10,0.06
21049,Lorne - Anglesea,47,33,9,5,0.11
21050,Ocean Grove - Barwon Heads,357,281,48,28,0.08
21051,Portarlington,62,43,8,11,0.18
21052,Point Lonsdale - Queenscliff,19,17,0,2,0.11
21053,Torquay,321,271,33,17,0.05
21054,Alexandra,45,41,0,4,0.09
21055,Euroa,49,42,5,2,0.04
21056,Kilmore - Broadford,173,145,21,7,0.04
21057,Mansfield (Vic.),82,75,2,5,0.06
21058,Nagambie,35,31,3,1,0.03
21059,Seymour,78,57,12,9,0.12
21060/21061,Seymour Region / Upper Yarra Valley,56,37,13,6,0.11
21062,Yea,34,27,3,4,0.12
21063,Benalla,90,72,6,12,0.13
21064,Benalla Region,29,25,1,3,0.1
21065,Rutherglen,37,28,7,2,0.05
21066,Wangaratta,220,189,20,11,0.05
21067,Wangaratta Region,104,87,15,2,0.02
21068,Beechworth,64,33,9,22,0.34
21069,Bright - Mount Beauty,84,60,13,11,0.13
21070,Chiltern - Indigo Valley,31,26,3,2,0.06
21071,Myrtleford,45,34,7,4,0.09
21072,Towong,58,48,3,7,0.12
21073,West Wodonga,220,177,29,14,0.06
21074,Wodonga,367,298,35,34,0.09
21075,Yackandandah,63,43,12,8,0.13
21076,Drouin,185,147,21,17,0.09
21077,Mount Baw Baw Region,58,36,5,17,0.29
21078,Trafalgar (Vic.),108,96,7,5,0.05
21079,Warragul,205,159,19,27,0.13
21080/21082,Alps - East / Bruthen - Omeo,95,80,4,11,0.12
21081,Bairnsdale,164,125,13,26,0.16
21084,Lakes Entrance,116,86,19,11,0.09
21085,Orbost,56,40,6,10,0.18
21086,Paynesville,47,40,4,3,0.06
21087/21092,Foster / Wilsons Promontory,90,62,21,7,0.08
21088/21091,French Island / Phillip Island,121,90,16,15,0.12
21089,Korumburra,133,99,17,17,0.13
21090,Leongatha,136,108,16,12,0.09
21093,Wonthaggi - Inverloch,242,195,33,14,0.06
21094,Churchill,157,119,20,18,0.11
21095,Moe - Newborough,196,137,24,35,0.18
21096,Morwell,168,92,17,59,0.35
21097,Traralgon,324,244,47,33,0.1
21098,Yallourn North - Glengarry,63,58,1,4,0.06
21100/21103,Longford - Loch Sport / Sale,241,184,32,25,0.1
21101,Maffra,194,159,19,16,0.08
21102,Rosedale,52,33,10,9,0.17
21104,Yarram,48,33,9,6,0.12
21105,Brunswick,162,138,17,7,0.04
21106,Brunswick East,47,40,5,2,0.04
21107,Brunswick West,114,80,25,9,0.08
21108,Coburg,299,236,46,17,0.06
21109,Pascoe Vale South,123,105,11,7,0.06
21110,Alphington - Fairfield,103,91,10,2,0.02
21111,Northcote,270,246,15,9,0.03
21112,Thornbury,183,157,17,9,0.05
21113,Ascot Vale,182,168,10,4,0.02
21114,Essendon - Aberfeldie,290,260,20,10,0.03
21115,Flemington,92,72,8,12,0.13
21116,Moonee Ponds,165,152,9,4,0.02
21117,Carlton,74,61,8,5,0.07
21118,Docklands,61,50,4,7,0.11
21119/21122,East Melbourne / Melbourne,95,73,14,8,0.08
21120/21121,Flemington Racecourse / Kensington (Vic.),121,92,20,9,0.07
21123,North Melbourne,133,102,20,11,0.08
21124,Parkville,33,31,2,0,0.0
21125,South Yarra - West,27,25,2,0,0.0
