code,name,total,on_track,at_risk,vulnerable,vulnerable_percentage
21001,Alfredton,154,138,10,6,0.04
21002,Ballarat,116,108,5,3,0.03
21003,Ballarat - North,282,251,13,18,0.06
21004,Ballarat - South,281,233,31,17,0.06
21005,Buninyong,107,95,9,3,0.03
21006,Delacombe,103,82,11,10,0.1
21007,Smythes Creek,50,43,5,2,0.04
21008,Wendouree - Miners Rest,182,138,14,30,0.16
21009,Bacchus Marsh Region,60,49,10,1,0.02
21010,Creswick - Clunes,82,74,5,3,0.04
21011,Daylesford,59,51,3,5,0.08
21012,Gordon (Vic.),57,47,8,2,0.04
21013,Avoca,32,27,3,2,0.06
21014,Beaufort,43,31,8,4,0.09
21015,Golden Plains - North,54,42,6,6,0.11
21016,Maryborough (Vic.),85,60,13,12,0.14
21017,Maryborough Region,43,33,6,4,0.09
21018,Bendigo,169,125,20,24,0.14
21019,California Gully - Eaglehawk,192,142,23,27,0.14
21020,East Bendigo - Kennington,151,133,9,9,0.06
21021,Flora Hill - Spring Gully,91,74,12,5,0.05
21022,Kangaroo Flat - Golden Square,236,193,24,19,0.08
21023,Maiden Gully,97,87,6,4,0.04
21024,Strathfieldsaye,155,140,10,5,0.03
21025,White Hills - Ascot,203,180,12,11,0.05
21026,Bendigo Region - South,100,87,8,5,0.05
21027,Castlemaine,90,60,21,9,0.1
21028,Castlemaine Region,63,52,9,2,0.03
21029,Heathcote,53,38,10,5,0.09
21030,Kyneton,107,99,7,1,0.01
21031,Woodend,97,91,5,1,0.01
21032,Bendigo Region - North,51,43,4,4,0.08
21033,Loddon,63,50,5,8,0.13
21034,Bannockburn,117,104,5,8,0.07
21035,Golden Plains - South,82,67,8,7,0.09
21036,Winchelsea,53,46,6,1,0.02
21037,Belmont,137,125,5,7,0.05
21038,Corio - Norlane,288,200,40,48,0.17
21039,Geelong,135,122,5,8,0.06
21040,Geelong West - Hamlyn Heights,243,219,16,8,0.03
21041,Grovedale,296,272,11,13,0.04
21042,Highton,228,212,9,7,0.03
21043,Lara,231,206,18,7,0.03
21044,Leopold,172,148,15,9,0.05
21045,Newcomb - Moolap,145,111,17,17,0.12
21046,Newtown (Vic.),124,116,4,4,0.03
21047,North Geelong - Bell Park,158,135,13,10,0.06
21048,Clifton Springs,159,131,17,11,0.07
21049,Lorne - Anglesea,47,33,9,5,0.11
21050,Ocean Grove - Barwon Heads,357,315,26,16,0.04
21051,Portarlington,62,46,10,6,0.1
21052,Point Lonsdale - Queenscliff,19,18,1,0,0.0
21053,Torquay,321,291,21,9,0.03
21054,Alexandra,45,39,5,1,0.02
21055,Euroa,49,38,6,5,0.1
21056,Kilmore - Broadford,173,140,20,13,0.08
21057,Mansfield (Vic.),82,74,6,2,0.02
21058,Nagambie,35,31,3,1,0.03
21059,Seymour,78,52,13,13,0.17
21060/21061,Seymour Region / Upper Yarra Valley,56,45,8,3,0.05
21062,Yea,34,29,2,3,0.09
21063,Benalla,90,73,11,6,0.07
21064,Benalla Region,29,24,3,2,0.07
21065,Rutherglen,37,35,1,1,0.03
21066,Wangaratta,220,194,20,6,0.03
21067,Wangaratta Region,104,91,7,6,0.06
21068,Beechworth,64,48,4,12,0.19
