code,name,total,vulnerable,vulnerable_percentage
21001,Alfredton,154,23,0.15
21002,Ballarat,116,16,0.14
21003,Ballarat - North,282,48,0.17
21004,Ballarat - South,281,52,0.19
21005,Buninyong,107,20,0.19
21006,Delacombe,103,23,0.22
21007,Smythes Creek,49,8,0.16
21008,Wendouree - Miners Rest,182,59,0.32
21009,Bacchus Marsh Region,60,8,0.13
21010,Creswick - Clunes,82,8,0.1
21011,Daylesford,59,22,0.37
21012,Gordon (Vic.),58,11,0.19
21013,Avoca,32,7,0.22
21014,Beaufort,43,6,0.14
21015,Golden Plains - North,54,14,0.26
21016,Maryborough (Vic.),82,28,0.34
21017,Maryborough Region,42,13,0.31
21018,Bendigo,169,50,0.3
21019,California Gully - Eaglehawk,194,82,0.42
21020,East Bendigo - Kennington,151,28,0.19
21021,Flora Hill - Spring Gully,91,15,0.16
21022,Kangaroo Flat - Golden Square,235,56,0.24
21023,Maiden Gully,97,12,0.12
21024,Strathfieldsaye,155,18,0.12
21025,White Hills - Ascot,203,33,0.16
21026,Bendigo Region - South,100,14,0.14
21027,Castlemaine,90,34,0.38
21028,Castlemaine Region,63,9,0.14
21029,Heathcote,53,24,0.45
21030,Kyneton,107,12,0.11
21031,Woodend,97,12,0.12
21032,Bendigo Region - North,51,5,0.1
21033,Loddon,63,16,0.25
21034,Bannockburn,116,16,0.14
21035,Golden Plains - South,82,15,0.18
21036,Winchelsea,53,10,0.19
21037,Belmont,137,18,0.13
21038,Corio - Norlane,285,112,0.39
21039,Geelong,136,31,0.23
21040,Geelong West - Hamlyn Heights,243,44,0.18
21041,Grovedale,295,43,0.15
21042,Highton,228,31,0.14
21043,Lara,231,39,0.17
21044,Leopold,172,31,0.18
21045,Newcomb - Moolap,147,60,0.41
21046,Newtown (Vic.),124,17,0.14
21047,North Geelong - Bell Park,156,33,0.21
21048,Clifton Springs,159,26,0.16
21049,Lorne - Anglesea,47,11,0.23
21050,Ocean Grove - Barwon Heads,357,75,0.21
21051,Portarlington,62,20,0.32
21052,Point Lonsdale - Queenscliff,19,4,0.21
21053,Torquay,321,31,0.1
21054,Alexandra,45,5,0.11
21055,Euroa,49,8,0.16
21056,Kilmore - Broadford,173,33,0.19
21057,Mansfield (Vic.),82,8,0.1
21058,Nagambie,35,5,0.14
21059,Seymour,78,21,0.27
21060/21061,Seymour Region / Upper Yarra Valley,56,13,0.23
