code,name,total,on_track,at_risk,vulnerable,vulnerable_percentage
21001,Alfredton,154,129,15,10,0.06
21002,Ballarat,116,99,9,8,0.07
21003,Ballarat - North,282,232,38,12,0.04
21004,Ballarat - South,281,225,40,16,0.06
21005,Buninyong,107,85,12,10,0.09
21006,Delacombe,103,81,14,8,0.08
21007,Smythes Creek,50,43,5,2,0.04
21008,Wendouree - Miners Rest,182,124,20,38,0.21
21009,Bacchus Marsh Region,60,46,8,6,0.1
21010,Creswick - Clunes,82,68,12,2,0.02
21011,Daylesford,59,39,14,6,0.1
21012,Gordon (Vic.),60,48,6,6,0.1
21013,Avoca,32,28,2,2,0.06
21014,Beaufort,43,39,3,1,0.02
21015,Golden Plains - North,54,36,10,8,0.15
21016,Maryborough (Vic.),85,56,13,16,0.19
21017,Maryborough Region,43,31,4,8,0.19
21018,Bendigo,170,120,32,18,0.11
21019,California Gully - Eaglehawk,194,111,44,39,0.2
21020,East Bendigo - Kennington,151,125,15,11,0.07
21021,Flora Hill - Spring Gully,91,72,10,9,0.1
21022,Kangaroo Flat - Golden Square,237,168,43,26,0.11
21023,Maiden Gully,97,79,13,5,0.05
21024,Strathfieldsaye,155,130,16,9,0.06
21025,White Hills - Ascot,203,165,23,15,0.07
21026,Bendigo Region - South,100,81,15,4,0.04
21027,Castlemaine,90,52,18,20,0.22
21028,Castlemaine Region,63,52,8,3,0.05
21029,Heathcote,53,31,14,8,0.15
21030,Kyneton,107,85,16,6,0.06
21031,Woodend,97,79,13,5,0.05
21032,Bendigo Region - North,51,44,4,3,0.06
21033,Loddon,63,47,10,6,0.1
21034,Bannockburn,117,104,10,3,0.03
21035,Golden Plains - South,82,65,12,5,0.06
21036,Winchelsea,53,41,9,3,0.06
21037,Belmont,137,120,10,7,0.05
21038,Corio - Norlane,289,184,52,53,0.18
21039,Geelong,136,102,21,13,0.1
21040,Geelong West - Hamlyn Heights,243,179,43,21,0.09
21041,Grovedale,296,247,36,13,0.04
21042,Highton,228,189,24,15,0.07
21043,Lara,231,192,23,16,0.07
21044,Leopold,172,131,26,15,0.09
21045,Newcomb - Moolap,147,86,32,29,0.2
21046,Newtown (Vic.),124,106,12,6,0.05
21047,North Geelong - Bell Park,158,120,24,14,0.09
21048,Clifton Springs,159,132,17,10,0.06
21049,Lorne - Anglesea,47,33,8,6,0.13
21050,Ocean Grove - Barwon Heads,357,254,62,41,0.11
21051,Portarlington,62,43,9,10,0.16
21052,Point Lonsdale - Queenscliff,19,15,3,1,0.05
21053,Torquay,321,274,33,14,0.04
21054,Alexandra,45,36,7,2,0.04
21055,Euroa,49,36,10,3,0.06
21056,Kilmore - Broadford,173,126,35,12,0.07
21057,Mansfield (Vic.),82,71,8,3,0.04
21058,Nagambie,35,21,11,3,0.09
21059,Seymour,78,59,10,9,0.12
21060/21061,Seymour Region / Upper Yarra Valley,56,42,7,7,0.12
21062,Yea,34,28,2,4,0.12
21063,Benalla,90,63,15,12,0.13
21064,Benalla Region,29,21,6,2,0.07
21065,Rutherglen,37,27,5,5,0.14
21066,Wangaratta,220,185,27,8,0.04
21067,Wangaratta Region,104,85,13,6,0.06
21068,Beechworth,64,42,14,8,0.12
21069,Bright - Mount Beauty,84,61,13,10,0.12
21070,Chiltern - Indigo Valley,31,26,1,4,0.13
21071,Myrtleford,45,33,8,4,0.09
21072,Towong,58,38,13,7,0.12
21073,West Wodonga,220,160,37,23,0.1
21074,Wodonga,367,275,62,30,0.08
21075,Yackandandah,63,48,9,6,0.1
21076,Drouin,185,147,20,18,0.1
21077,Mount Baw Baw Region,58,34,13,11,0.19
21078,Trafalgar (Vic.),108,92,10,6,0.06
21079,Warragul,205,151,38,16,0.08
21080/21082,Alps - East / Bruthen - Omeo,95,74,10,11,0.12
21081,Bairnsdale,164,114,29,21,0.13
21084,Lakes Entrance,116,89,15,12,0.1
21085,Orbost,56,44,8,4,0.07
21086,Paynesville,47,36,7,4,0.09
21087/21092,Foster / Wilsons Promontory,90,66,13,11,0.12
21088/21091,French Island / Phillip Island,121,91,22,8,0.07
21089,Korumburra,133,93,19,21,0.16
21090,Leongatha,136,102,16,18,0.13
21093,Wonthaggi - Inverloch,242,179,44,19,0.08
21094,Churchill,157,117,23,17,0.11
21095,Moe - Newborough,196,122,46,28,0.14
21096,Morwell,168,87,22,59,0.35
21097,Traralgon,324,235,51,38,0.12
21098,Yallourn North - Glengarry,63,47,8,8,0.13
21100/21103,Longford - Loch Sport / Sale,241,186,35,20,0.08
21101,Maffra,194,141,32,21,0.11
21102,Rosedale,52,43,4,5,0.1
21104,Yarram,48,37,7,4,0.08
21105,Brunswick,162,132,21,9,0.06
21106,Brunswick East,47,42,2,3,0.06
21107,Brunswick West,114,83,17,14,0.12
