SA2_MAINCODE_2016,M_LPLFS_EFT_DC_0_4,M_LPLFS_EPT_DC_0_4,M_LPLFS_EAW_DC_0_4,M_LPLFS_HNS_DC_0_4,M_LPLFS_EW_T_DC_0_4,M_LPLFS_ULFTW_DC_0_4,M_LPLFS_ULPTW_DC_0_4,M_LPLFS_U_T_DC_0_4,M_LPLFS_T_LF_DC_0_4,M_LPLFS_NLF_DC_0_4,M_LPLFS_LFSNS_DC_0_4,M_LPLFS_T_DC_0_4,F_LPLFS_EFT_DC_0_4,F_LPLFS_EPT_DC_0_4,F_LPLFS_EAW_DC_0_4,F_LPLFS_HNS_DC_0_4,F_LPLFS_EW_T_DC_0_4,F_LPLFS_ULFTW_DC_0_4,F_LPLFS_ULPTW_DC_0_4,F_LPLFS_U_T_DC_0_4,F_LPLFS_T_LF_DC_0_4,F_LPLFS_NLF_DC_0_4,F_LPLFS_LFSNS_DC_0_4,F_LPLFS_T_DC_0_4,T_LPLFS_EFT_DC_0_4
201011001,3,0,0,0,3,0,0,0,3,0,0,3,3,27,0,0,34,0,3,3,31,43,0,77,3
201011002,5,0,0,0,5,0,0,0,5,3,0,9,0,23,4,0,26,7,0,9,32,36,0,71,5
201011003,7,0,0,0,10,3,0,3,8,3,0,12,7,52,3,0,63,3,12,13,74,111,3,192,16
201011004,7,3,0,0,6,0,0,0,9,13,0,19,15,71,12,0,101,3,13,15,114,251,5,373,18
201011005,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,0,0,0,10,17,0,24,0
201011006,0,0,0,0,3,0,0,0,3,0,0,3,3,23,4,0,27,0,7,10,35,47,0,88,3
201011007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,9,3,0,15,0
201011008,3,0,0,0,3,0,0,0,3,5,0,5,9,36,3,0,47,0,16,16,61,153,0,221,13
201021009,0,0,0,0,3,0,0,0,3,0,0,3,6,9,0,0,17,0,0,0,16,25,0,39,9
201021010,0,0,0,0,3,3,0,3,3,0,0,3,3,10,0,0,11,0,0,0,11,29,0,43,6
201021011,0,0,0,0,0,0,0,0,0,0,0,0,3,11,4,0,22,0,0,0,21,31,0,53,3
201021012,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,15,17,4,30,0
201031013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,8,0
201031014,0,0,0,0,0,0,0,0,0,0,0,4,5,11,0,0,14,0,0,3,14,14,0,31,7
201031015,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,0,0,0,7,16,0,23,0
201031016,0,0,0,0,0,0,0,0,0,3,0,3,0,16,0,0,16,3,5,9,22,86,0,108,0
201031017,0,0,0,0,0,0,0,0,0,3,0,7,0,8,3,0,7,0,3,5,10,20,0,34,0
202011018,4,0,0,0,6,0,0,0,13,6,0,15,7,27,4,0,41,3,14,15,55,129,0,184,10
202011019,4,0,0,0,4,0,4,4,7,3,0,7,13,34,6,0,50,4,12,17,61,140,4,207,16
202011020,0,0,0,0,5,0,0,0,4,0,0,7,3,20,3,0,29,3,4,7,35,79,0,116,8
202011021,0,0,0,0,0,0,0,0,0,0,0,3,3,16,3,0,21,0,0,0,25,62,0,85,7
202011022,4,0,0,0,5,3,0,3,8,13,0,20,13,47,4,3,59,0,4,5,67,151,0,219,12
202011023,0,0,0,0,0,0,0,0,0,3,0,3,0,6,3,0,6,0,0,0,6,10,0,20,3
202011024,0,0,0,0,0,0,0,0,0,0,0,0,4,14,3,0,20,0,0,0,24,20,0,45,4
202011025,5,3,0,0,5,0,0,0,5,3,0,11,14,52,18,0,81,0,7,11,89,61,0,150,15
202021026,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,16,0,3,3,19,19,0,36,0
202021027,0,3,0,0,3,0,0,0,3,0,0,4,0,15,0,0,18,0,0,0,17,51,0,72,3
