2016_sa2_code,2016_sa2_name ,Index of Relative Socio-economic Disadvantage_score,Index of Relative Socio-economic Disadvantage_decile,Index of Relative Socio-economic Adv and Disadv_score,Index of Relative Socio-economic Adv and Disadv_decile,Index of Economic Resources_score,Index of Economic Resources_decile,Index of Education and Occupation_score,Index of Education and Occupation_decile,Usual Resident Population
101021007,Braidwood,1009,6,997,5,1016,6,1027,7,3872
101021008,Karabar,996,5,985,5,1004,6,966,5,8247
101021009,Queanbeyan,990,5,982,5,944,2,998,6,10842
101021010,Queanbeyan - East,1019,6,1013,6,973,4,1024,7,4786
101021011,Queanbeyan Region,1107,10,1122,10,1153,10,1091,9,16946
101021012,Queanbeyan West - Jerrabomberra,1100,10,1113,10,1115,10,1089,9,12643
101031013,Bombala,953,3,937,3,979,4,941,3,2390
101031014,Cooma,963,3,941,3,954,3,952,4,6742
101031015,Cooma Region,1029,6,1012,6,1056,8,1011,6,3280
101031016,Jindabyne - Berridale,1052,8,1020,6,1022,7,1020,7,6951
101041017,Batemans Bay,931,2,906,2,947,3,907,2,7692
101041018,Batemans Bay - South,967,3,943,3,978,4,947,4,8358
101041019,Bega - Tathra,972,4,947,3,976,4,951,4,8405
101041020,Bega-Eden Hinterland,983,4,960,4,1008,6,971,5,8793
101041021,Broulee - Tomakin,1021,6,992,5,1003,6,1007,6,3285
101041022,Deua - Wadbilliga,-,-,-,-,-,-,1113,9,25
101041023,Eden,908,2,886,1,925,2,887,1,3216
101041024,Eurobodalla Hinterland,972,4,947,3,988,5,955,4,3301
101041025,Merimbula - Tura Beach,997,5,968,4,987,5,975,5,10618
101041026,Moruya - Tuross Head,970,4,944,3,973,4,958,4,7968
101041027,Narooma - Bermagui,956,3,932,3,962,3,961,4,8978
101051539,Goulburn,948,3,933,3,959,3,933,3,22890
101051540,Goulburn Region,998,5,984,5,1040,8,981,5,12670
101061541,Yass,1010,6,993,5,1022,7,995,6,6506
101061542,Yass Region,1084,9,1092,9,1124,10,1082,8,11505
101061543,Young,939,2,918,2,956,3,915,2,10601
101061544,Young Region,957,3,946,3,991,5,962,4,7323
102011028,Avoca Beach - Copacabana,1077,9,1082,9,1087,9,1089,9,7312
102011029,Box Head - MacMasters Beach,1053,8,1044,7,1072,9,1041,7,10689
102011030,Calga - Kulnura,1028,6,1025,7,1054,8,1027,7,4705
102011031,Erina - Green Point,1027,6,1025,7,1046,8,1020,7,13953
102011032,Gosford - Springfield,977,4,976,5,938,2,1015,7,18803
102011033,Kariong,1040,7,1022,7,1056,8,994,6,6385
102011034,Kincumber - Picketts Valley,994,5,978,5,1001,5,976,5,7313
102011035,Narara,1025,6,1007,6,1039,8,993,6,6642
102011036,Niagara Park - Lisarow,1040,7,1023,7,1051,8,1008,6,8029
102011037,Point Clare - Koolewong,1036,7,1028,7,1020,7,1034,7,6206
102011038,Saratoga - Davistown,1047,8,1028,7,1053,8,1012,6,6984
102011039,Terrigal - North Avoca,1071,9,1076,9,1069,9,1076,8,13347
102011040,Umina - Booker Bay - Patonga,963,3,949,3,956,3,954,4,23590
102011041,Wamberal - Forresters Beach,1080,9,1077,9,1097,10,1068,8,9757
102011042,Woy Woy - Blackwall,947,3,939,3,940,2,952,4,13924
102011043,Wyoming,969,4,953,4,981,4,959,4,11436
102021044,Bateau Bay - Killarney Vale,982,4,960,4,996,5,948,4,22008
102021045,Blue Haven - San Remo,925,2,900,2,974,4,868,1,11046
102021046,Budgewoi - Buff Point - Halekulani,940,3,915,2,965,3,901,2,9409
102021047,Chittaway Bay - Tumbi Umbi,1018,6,993,5,1037,7,966,5,15355
102021048,Gorokan - Kanwal - Charmhaven,916,2,898,1,947,3,892,1,22109
102021049,Jilliby - Yarramalong,1074,9,1071,8,1133,10,1040,7,3358
102021050,Lake Munmorah - Mannering Park,955,3,924,2,985,4,891,1,10728
102021051,Ourimbah - Fountaindale,1046,7,1034,7,1055,8,1023,7,4855
102021052,Summerland Point - Gwandalan,972,4,937,3,1005,6,898,2,5768
102021053,The Entrance,931,2,922,2,917,2,945,4,14941
102021054,Toukley - Norah Head,926,2,911,2,943,2,920,2,9773
102021055,Tuggerah - Kangy Angy,1020,6,1003,6,1028,7,986,5,5303
102021056,Warnervale - Wadalba,1009,5,999,6,1054,8,962,4,15222
102021057,Wyong,891,1,887,1,919,2,897,2,8822
103011058,Bathurst,977,4,966,4,964,3,984,5,23833
103011059,Bathurst - East,981,4,967,4,1017,6,949,4,11189
103011060,Bathurst Region,1032,7,1015,6,1062,9,1009,6,6910
103011061,Oberon,957,3,939,3,997,5,921,2,4662
103021062,Condobolin,928,2,926,2,958,3,949,4,6630
103021063,Cowra,911,2,895,1,938,2,897,2,9146
103021064,Cowra Region,950,3,941,3,997,5,957,4,5447
