code,name,total,on_track,at_risk,vulnerable,vulnerable_percentage
21001,Alfredton,154,126,20,8,0.05
21002,Ballarat,116,97,9,10,0.09
21003,Ballarat - North,281,217,40,24,0.09
21004,Ballarat - South,281,226,36,19,0.07
21005,Buninyong,106,81,16,9,0.08
21006,Delacombe,103,79,18,6,0.06
21007,Smythes Creek,49,40,5,4,0.08
21008,Wendouree - Miners Rest,182,123,24,35,0.19
21009,Bacchus Marsh Region,60,49,4,7,0.12
21010,Creswick - Clunes,82,67,12,3,0.04
21011,Daylesford,59,42,8,9,0.15
21012,Gordon (Vic.),60,52,7,1,0.02
21013,Avoca,32,28,1,3,0.09
21014,Beaufort,42,36,5,1,0.02
21015,Golden Plains - North,54,41,8,5,0.09
21016,Maryborough (Vic.),82,52,22,8,0.1
21017,Maryborough Region,41,29,6,6,0.15
21018,Bendigo,170,119,26,25,0.15
21019,California Gully - Eaglehawk,193,116,39,38,0.2
21020,East Bendigo - Kennington,151,120,14,17,0.11
21021,Flora Hill - Spring Gully,91,69,14,8,0.09
21022,Kangaroo Flat - Golden Square,236,175,33,28,0.12
21023,Maiden Gully,97,74,19,4,0.04
21024,Strathfieldsaye,155,132,17,6,0.04
21025,White Hills - Ascot,203,166,22,15,0.07
21026,Bendigo Region - South,100,83,11,6,0.06
21027,Castlemaine,90,58,14,18,0.2
21028,Castlemaine Region,63,51,8,4,0.06
21029,Heathcote,53,23,18,12,0.23
21030,Kyneton,107,82,18,7,0.07
21031,Woodend,97,73,16,8,0.08
21032,Bendigo Region - North,51,42,7,2,0.04
21033,Loddon,63,48,9,6,0.1
21034,Bannockburn,116,103,9,4,0.03
21035,Golden Plains - South,82,64,13,5,0.06
21036,Winchelsea,53,40,5,8,0.15
21037,Belmont,137,124,3,10,0.07
21038,Corio - Norlane,285,166,62,57,0.2
21039,Geelong,136,91,24,21,0.15
21040,Geelong West - Hamlyn Heights,243,191,30,22,0.09
21041,Grovedale,295,247,28,20,0.07
21042,Highton,228,174,35,19,0.08
21043,Lara,231,181,32,18,0.08
21044,Leopold,172,137,21,14,0.08
21045,Newcomb - Moolap,147,85,31,31,0.21
21046,Newtown (Vic.),124,94,23,7,0.06
21047,North Geelong - Bell Park,156,121,24,11,0.07
21048,Clifton Springs,159,129,21,9,0.06
21049,Lorne - Anglesea,47,34,7,6,0.13
21050,Ocean Grove - Barwon Heads,357,264,55,38,0.11
21051,Portarlington,62,44,11,7,0.11
21052,Point Lonsdale - Queenscliff,19,15,2,2,0.11
21053,Torquay,321,266,44,11,0.03
21054,Alexandra,45,31,11,3,0.07
21055,Euroa,49,41,4,4,0.08
21056,Kilmore - Broadford,173,138,21,14,0.08
21057,Mansfield (Vic.),82,72,6,4,0.05
21058,Nagambie,35,28,6,1,0.03
21059,Seymour,78,48,20,10,0.13
21060/21061,Seymour Region / Upper Yarra Valley,56,35,13,8,0.14
21062,Yea,34,27,4,3,0.09
21063,Benalla,90,62,16,12,0.13
21064,Benalla Region,29,22,5,2,0.07
21065,Rutherglen,37,29,5,3,0.08
21066,Wangaratta,220,186,19,15,0.07
21067,Wangaratta Region,104,87,11,6,0.06
21068,Beechworth,64,34,19,11,0.17
21069,Bright - Mount Beauty,84,58,18,8,0.1
21070,Chiltern - Indigo Valley,31,23,3,5,0.16
21071,Myrtleford,45,33,9,3,0.07
21072,Towong,58,38,14,6,0.1
21073,West Wodonga,220,163,32,25,0.11
21074,Wodonga,363,272,51,40,0.11
21075,Yackandandah,63,46,14,3,0.05
21076,Drouin,185,145,26,14,0.08
21077,Mount Baw Baw Region,58,36,14,8,0.14
21078,Trafalgar (Vic.),107,85,15,7,0.07
21079,Warragul,205,154,34,17,0.08
21080/21082,Alps - East / Bruthen - Omeo,95,73,14,8,0.08
21081,Bairnsdale,163,115,25,23,0.14
21084,Lakes Entrance,116,95,18,3,0.03
21085,Orbost,55,41,10,4,0.07
21086,Paynesville,47,36,7,4,0.09
21087/21092,Foster / Wilsons Promontory,90,66,17,7,0.08
21088/21091,French Island / Phillip Island,121,90,20,11,0.09
21089,Korumburra,133,84,29,20,0.15
21090,Leongatha,135,105,18,12,0.09
21093,Wonthaggi - Inverloch,242,183,40,19,0.08
21094,Churchill,157,126,21,10,0.06
21095,Moe - Newborough,196,132,35,29,0.15
21096,Morwell,168,86,28,54,0.32
21097,Traralgon,324,243,46,35,0.11
21098,Yallourn North - Glengarry,62,48,5,9,0.15
21100/21103,Longford - Loch Sport / Sale,241,177,41,23,0.1
21101,Maffra,194,152,20,22,0.11
21102,Rosedale,52,36,9,7,0.13
21104,Yarram,48,39,6,3,0.06
21105,Brunswick,161,132,16,13,0.08
21106,Brunswick East,47,38,4,5,0.11
21107,Brunswick West,113,92,11,10,0.09
21108,Coburg,297,253,29,15,0.05
21109,Pascoe Vale South,121,99,9,13,0.11
21110,Alphington - Fairfield,103,83,12,8,0.08
21111,Northcote,248,210,25,13,0.05
21112,Thornbury,183,150,27,6,0.03
21113,Ascot Vale,181,143,27,11,0.06
21114,Essendon - Aberfeldie,290,235,34,21,0.07
21115,Flemington,91,62,21,8,0.09
21116,Moonee Ponds,165,139,15,11,0.07
21117,Carlton,74,57,9,8,0.11
21118,Docklands,61,47,7,7,0.11
21119/21122,East Melbourne / Melbourne,95,68,17,10,0.11
21120/21121,Flemington Racecourse / Kensington (Vic.),121,102,12,7,0.06
21123,North Melbourne,133,103,18,12,0.09
21124,Parkville,33,27,5,1,0.03
21125,South Yarra - West,27,23,4,0,0.0
21126,Southbank,46,38,5,3,0.07
21128,Albert Park,160,137,14,9,0.06
21129,Elwood,135,108,15,12,0.09
21130/21131,Port Melbourne / Port Melbourne Industrial,151,129,11,11,0.07
21132,South Melbourne,78,57,14,7,0.09
21133,St Kilda,111,100,5,6,0.05
21134,St Kilda East,119,96,13,10,0.08
21135,Armadale,70,53,13,4,0.06
21136,Prahran - Windsor,83,61,10,12,0.14
21137,South Yarra - East,116,86,19,11,0.09
21138,Toorak,63,52,5,6,0.1
21139,Abbotsford,31,26,3,2,0.06
21140,Carlton North - Princes Hill,53,43,6,4,0.08
21141,Collingwood,72,57,6,9,0.12
21142,Fitzroy,73,58,11,4,0.05
21143,Fitzroy North,93,83,6,4,0.04
21144,Richmond (Vic.),182,138,20,24,0.13
21145,Yarra - North,96,80,10,6,0.06
21146,Ashburton (Vic.),120,99,12,9,0.07
21147,Balwyn,156,130,18,8,0.05
21148,Balwyn North,246,198,31,17,0.07
21149,Camberwell,244,209,28,7,0.03
21150,Glen Iris - East,202,176,20,6,0.03
21151,Hawthorn,132,115,12,5,0.04
21152,Hawthorn East,156,125,21,10,0.06
21153,Kew,182,158,13,11,0.06
21154,Kew East,56,51,3,2,0.04
21155,Surrey Hills (West) - Canterbury,154,137,11,6,0.04
21156,Bulleen,70,59,10,1,0.01
