code,name,total,vulnerable,vulnerable_percentage
21001,Alfredton,154,12,0.08
21002,Ballarat,116,7,0.06
21003,Ballarat - North,282,19,0.07
21004,Ballarat - South,281,24,0.09
21005,Buninyong,107,12,0.11
21006,Delacombe,103,15,0.15
21007,Smythes Creek,50,3,0.06
21008,Wendouree - Miners Rest,182,42,0.23
21009,Bacchus Marsh Region,60,6,0.1
21010,Creswick - Clunes,82,3,0.04
21011,Daylesford,59,8,0.14
21012,Gordon (Vic.),57,5,0.09
21013,Avoca,32,2,0.06
21014,Beaufort,43,4,0.09
21015,Golden Plains - North,54,6,0.11
21016,Maryborough (Vic.),85,18,0.21
21017,Maryborough Region,42,9,0.21
21018,Bendigo,170,31,0.18
21019,California Gully - Eaglehawk,194,53,0.27
21020,East Bendigo - Kennington,151,14,0.09
21021,Flora Hill - Spring Gully,91,10,0.11
21022,Kangaroo Flat - Golden Square,237,26,0.11
21023,Maiden Gully,97,5,0.05
21024,Strathfieldsaye,155,7,0.05
21025,White Hills - Ascot,203,17,0.08
21026,Bendigo Region - South,100,6,0.06
21027,Castlemaine,90,19,0.21
21028,Castlemaine Region,63,4,0.06
21029,Heathcote,53,14,0.26
21030,Kyneton,107,5,0.05
21031,Woodend,97,5,0.05
21032,Bendigo Region - North,51,4,0.08
21033,Loddon,63,11,0.17
21034,Bannockburn,117,6,0.05
21035,Golden Plains - South,82,8,0.1
21036,Winchelsea,53,4,0.08
21037,Belmont,137,8,0.06
21038,Corio - Norlane,289,69,0.24
21039,Geelong,136,15,0.11
21040,Geelong West - Hamlyn Heights,243,23,0.09
21041,Grovedale,296,18,0.06
21042,Highton,228,15,0.07
21043,Lara,231,16,0.07
21044,Leopold,172,17,0.1
21045,Newcomb - Moolap,145,34,0.23
21046,Newtown (Vic.),124,6,0.05
21047,North Geelong - Bell Park,158,14,0.09
21048,Clifton Springs,159,12,0.08
21049,Lorne - Anglesea,47,6,0.13
21050,Ocean Grove - Barwon Heads,357,41,0.11
21051,Portarlington,62,11,0.18
21052,Point Lonsdale - Queenscliff,19,1,0.05
21053,Torquay,321,16,0.05
21054,Alexandra,45,3,0.07
21055,Euroa,49,3,0.06
21056,Kilmore - Broadford,173,13,0.08
21057,Mansfield (Vic.),82,4,0.05
21058,Nagambie,35,1,0.03
21059,Seymour,78,14,0.18
21060/21061,Seymour Region / Upper Yarra Valley,56,7,0.12
21062,Yea,34,4,0.12
21063,Benalla,90,14,0.16
21064,Benalla Region,29,3,0.1
21065,Rutherglen,37,4,0.11
21066,Wangaratta,220,9,0.04
21067,Wangaratta Region,104,5,0.05
21068,Beechworth,64,18,0.28
21069,Bright - Mount Beauty,84,11,0.13
21070,Chiltern - Indigo Valley,31,5,0.16
21071,Myrtleford,45,4,0.09
21072,Towong,58,7,0.12
21073,West Wodonga,220,27,0.12
21074,Wodonga,367,38,0.1
21075,Yackandandah,63,8,0.13
21076,Drouin,185,17,0.09
21077,Mount Baw Baw Region,58,11,0.19
21078,Trafalgar (Vic.),107,6,0.06
21079,Warragul,205,25,0.12
21080/21082,Alps - East / Bruthen - Omeo,95,10,0.11
21081,Bairnsdale,164,29,0.18
21084,Lakes Entrance,116,14,0.12
21085,Orbost,55,8,0.15
21086,Paynesville,47,4,0.09
21087/21092,Foster / Wilsons Promontory,90,10,0.11
21088/21091,French Island / Phillip Island,121,15,0.12
21089,Korumburra,133,25,0.19
21090,Leongatha,135,22,0.16
21093,Wonthaggi - Inverloch,242,22,0.09
21094,Churchill,157,19,0.12
21095,Moe - Newborough,196,32,0.16
21096,Morwell,168,67,0.4
21097,Traralgon,324,43,0.13
21098,Yallourn North - Glengarry,63,10,0.16
21100/21103,Longford - Loch Sport / Sale,241,29,0.12
21101,Maffra,194,23,0.12
21102,Rosedale,52,7,0.13
21104,Yarram,48,5,0.1
21105,Brunswick,161,9,0.06
21106,Brunswick East,47,3,0.06
21107,Brunswick West,113,10,0.09
21108,Coburg,298,20,0.07
21109,Pascoe Vale South,122,14,0.11
21110,Alphington - Fairfield,103,5,0.05
21111,Northcote,268,13,0.05
21112,Thornbury,183,9,0.05
21113,Ascot Vale,181,12,0.07
21114,Essendon - Aberfeldie,290,17,0.06
21115,Flemington,92,13,0.14
21116,Moonee Ponds,165,8,0.05
21117,Carlton,74,9,0.12
21118,Docklands,61,7,0.11
21119/21122,East Melbourne / Melbourne,95,16,0.17
21120/21121,Flemington Racecourse / Kensington (Vic.),121,10,0.08
21123,North Melbourne,133,13,0.1
21124,Parkville,33,1,0.03
21125,South Yarra - West,27,0,0.0
21126,Southbank,46,2,0.04
21128,Albert Park,161,7,0.04
21129,Elwood,136,7,0.05
21130/21131,Port Melbourne / Port Melbourne Industrial,152,7,0.05
21132,South Melbourne,78,7,0.09
21133,St Kilda,111,8,0.07
21134,St Kilda East,119,7,0.06
21135,Armadale,70,3,0.04
21136,Prahran - Windsor,83,8,0.1
21137,South Yarra - East,116,12,0.1
21138,Toorak,63,3,0.05
21139,Abbotsford,31,2,0.06
21140,Carlton North - Princes Hill,53,3,0.06
21141,Collingwood,72,14,0.19
21142,Fitzroy,73,8,0.11
21143,Fitzroy North,93,3,0.03
21144,Richmond (Vic.),182,32,0.18
21145,Yarra - North,96,4,0.04
21146,Ashburton (Vic.),120,7,0.06
21147,Balwyn,156,9,0.06
21148,Balwyn North,246,21,0.09
21149,Camberwell,244,6,0.02
21150,Glen Iris - East,202,7,0.03
21151,Hawthorn,132,4,0.03
21152,Hawthorn East,157,12,0.08
21153,Kew,183,10,0.05
21154,Kew East,56,4,0.07
21155,Surrey Hills (West) - Canterbury,154,5,0.03
21156,Bulleen,70,2,0.03
21157,Doncaster,210,30,0.14
21159,Templestowe,151,17,0.11
21160,Templestowe Lower,114,6,0.05
21424,Doncaster East (North),175,24,0.14
21425,Doncaster East (South),206,16,0.08
21161,Blackburn,238,18,0.08
21162,Blackburn South,132,3,0.02
21163,Box Hill,174,10,0.06
21164,Box Hill North,208,8,0.04
21165,Burwood,81,6,0.07
21166,Burwood East,100,7,0.07
21167,Surrey Hills (East) - Mont Albert,115,3,0.03
21168,Beaumaris,161,12,0.07
21169,Brighton (Vic.),221,10,0.05
21170,Brighton East,199,8,0.04
21171,Cheltenham - Highett (West),184,6,0.03
21172,Hampton,207,11,0.05
21173,Sandringham - Black Rock,160,3,0.02
21174,Bentleigh - McKinnon,279,9,0.03
21176,Carnegie,163,11,0.07
21177,Caulfield - North,162,11,0.07
21178,Caulfield - South,162,14,0.09
21179,Elsternwick,93,2,0.02
21180,Hughesdale,88,5,0.06
21181,Murrumbeena,87,3,0.03
21182,Ormond - Glen Huntly,135,8,0.06
21426,Bentleigh East (North),159,16,0.1
21427,Bentleigh East (South),188,15,0.08
21183,Aspendale Gardens - Waterways,128,8,0.06
21184/21193,Braeside / Mordialloc - Parkdale,219,10,0.05
21185,Carrum - Patterson Lakes,144,6,0.04
21186,Chelsea - Bonbeach,177,12,0.07
21187,Chelsea Heights,75,4,0.05
21188,Cheltenham - Highett (East),253,12,0.05
21189,Edithvale - Aspendale,157,13,0.08
21190,Mentone,135,3,0.02
21191/21192,Moorabbin - Heatherton / Moorabbin Airport,118,7,0.06
21194,Malvern - Glen Iris,151,14,0.09
21195,Malvern East,213,19,0.09
21196,Bundoora - East,82,9,0.11
21197,Greensborough,241,9,0.04
21198,Heidelberg - Rosanna,196,9,0.05
21199,Heidelberg West,167,18,0.11
21200,Ivanhoe,115,4,0.03
21201,Ivanhoe East - Eaglemont,86,1,0.01
21202,Montmorency - Briar Hill,197,14,0.07
21203,Viewbank - Yallambie,243,10,0.04
21204,Watsonia,104,10,0.1
21205,Kingsbury,88,10,0.11
21207,Reservoir - East,283,35,0.12
21208,Reservoir - West,269,20,0.07
21428,Preston - East,196,20,0.1
21429,Preston - West,186,19,0.1
21209,Eltham,264,18,0.07
21210,Hurstbridge,54,2,0.04
21211,Kinglake,45,3,0.07
21212,Panton Hill - St Andrews,36,1,0.03
