Sex,LFSP_C16,Labour force status,ASGS_2016,Region,Value
Males,1,"Employed, worked full-time",206011105,Brunswick,0
Females,1,"Employed, worked full-time",206011105,Brunswick,9
Persons,1,"Employed, worked full-time",206011105,Brunswick,11
Males,2,"Employed, worked part-time",206011105,Brunswick,0
Females,2,"Employed, worked part-time",206011105,Brunswick,20
Persons,2,"Employed, worked part-time",206011105,Brunswick,22
Males,3,"Employed, away from work",206011105,Brunswick,0
Females,3,"Employed, away from work",206011105,Brunswick,0
Persons,3,"Employed, away from work",206011105,Brunswick,0
Males,4,"Employed, hours of work not stated",206011105,Brunswick,0
Females,4,"Employed, hours of work not stated",206011105,Brunswick,0
Persons,4,"Employed, hours of work not stated",206011105,Brunswick,0
Males,5,"Unemployed, looking for full-time work",206011105,Brunswick,0
Females,5,"Unemployed, looking for full-time work",206011105,Brunswick,0
Persons,5,"Unemployed, looking for full-time work",206011105,Brunswick,0
Males,6,"Unemployed, looking for part-time work",206011105,Brunswick,0
Females,6,"Unemployed, looking for part-time work",206011105,Brunswick,0
Persons,6,"Unemployed, looking for part-time work",206011105,Brunswick,0
Males,7,Not in the labour force,206011105,Brunswick,0
Females,7,Not in the labour force,206011105,Brunswick,34
Persons,7,Not in the labour force,206011105,Brunswick,35
Males,Z,Labour force status not stated,206011105,Brunswick,0
Females,Z,Labour force status not stated,206011105,Brunswick,0
Persons,Z,Labour force status not stated,206011105,Brunswick,0
Males,EMP,Total Employed,206011105,Brunswick,0
Females,EMP,Total Employed,206011105,Brunswick,36
Persons,EMP,Total Employed,206011105,Brunswick,37
Males,UEMP,Total Unemployed,206011105,Brunswick,0
Females,UEMP,Total Unemployed,206011105,Brunswick,4
Persons,UEMP,Total Unemployed,206011105,Brunswick,4
Males,LF,Total Labour Force,206011105,Brunswick,0
Females,LF,Total Labour Force,206011105,Brunswick,36
Persons,LF,Total Labour Force,206011105,Brunswick,37
Males,TOT,Total,206011105,Brunswick,8
Females,TOT,Total,206011105,Brunswick,71
Persons,TOT,Total,206011105,Brunswick,73
Males,1,"Employed, worked full-time",206011106,Brunswick East,0
Females,1,"Employed, worked full-time",206011106,Brunswick East,5
Persons,1,"Employed, worked full-time",206011106,Brunswick East,5
Males,2,"Employed, worked part-time",206011106,Brunswick East,0
Females,2,"Employed, worked part-time",206011106,Brunswick East,6
Persons,2,"Employed, worked part-time",206011106,Brunswick East,12
Males,3,"Employed, away from work",206011106,Brunswick East,0
Females,3,"Employed, away from work",206011106,Brunswick East,4
Persons,3,"Employed, away from work",206011106,Brunswick East,4
Males,4,"Employed, hours of work not stated",206011106,Brunswick East,0
Females,4,"Employed, hours of work not stated",206011106,Brunswick East,3
Persons,4,"Employed, hours of work not stated",206011106,Brunswick East,3
Males,5,"Unemployed, looking for full-time work",206011106,Brunswick East,0
Females,5,"Unemployed, looking for full-time work",206011106,Brunswick East,0
Persons,5,"Unemployed, looking for full-time work",206011106,Brunswick East,0
Males,6,"Unemployed, looking for part-time work",206011106,Brunswick East,0
Females,6,"Unemployed, looking for part-time work",206011106,Brunswick East,0
Persons,6,"Unemployed, looking for part-time work",206011106,Brunswick East,0
Males,7,Not in the labour force,206011106,Brunswick East,0
Females,7,Not in the labour force,206011106,Brunswick East,10
Persons,7,Not in the labour force,206011106,Brunswick East,10
Males,Z,Labour force status not stated,206011106,Brunswick East,0
Females,Z,Labour force status not stated,206011106,Brunswick East,0
Persons,Z,Labour force status not stated,206011106,Brunswick East,0
Males,EMP,Total Employed,206011106,Brunswick East,0
Females,EMP,Total Employed,206011106,Brunswick East,18
Persons,EMP,Total Employed,206011106,Brunswick East,22
Males,UEMP,Total Unemployed,206011106,Brunswick East,0
Females,UEMP,Total Unemployed,206011106,Brunswick East,0
Persons,UEMP,Total Unemployed,206011106,Brunswick East,0
Males,LF,Total Labour Force,206011106,Brunswick East,0
Females,LF,Total Labour Force,206011106,Brunswick East,23
Persons,LF,Total Labour Force,206011106,Brunswick East,24
Males,TOT,Total,206011106,Brunswick East,0
Females,TOT,Total,206011106,Brunswick East,27
Persons,TOT,Total,206011106,Brunswick East,34
Males,1,"Employed, worked full-time",206011107,Brunswick West,3
Females,1,"Employed, worked full-time",206011107,Brunswick West,10
Persons,1,"Employed, worked full-time",206011107,Brunswick West,9
Males,2,"Employed, worked part-time",206011107,Brunswick West,0
Females,2,"Employed, worked part-time",206011107,Brunswick West,16
Persons,2,"Employed, worked part-time",206011107,Brunswick West,16
Males,3,"Employed, away from work",206011107,Brunswick West,0
Females,3,"Employed, away from work",206011107,Brunswick West,3
Persons,3,"Employed, away from work",206011107,Brunswick West,3
Males,4,"Employed, hours of work not stated",206011107,Brunswick West,0
Females,4,"Employed, hours of work not stated",206011107,Brunswick West,0
Persons,4,"Employed, hours of work not stated",206011107,Brunswick West,0
Males,5,"Unemployed, looking for full-time work",206011107,Brunswick West,0
Females,5,"Unemployed, looking for full-time work",206011107,Brunswick West,0
Persons,5,"Unemployed, looking for full-time work",206011107,Brunswick West,0
Males,6,"Unemployed, looking for part-time work",206011107,Brunswick West,0
Females,6,"Unemployed, looking for part-time work",206011107,Brunswick West,4
Persons,6,"Unemployed, looking for part-time work",206011107,Brunswick West,4
Males,7,Not in the labour force,206011107,Brunswick West,0
Females,7,Not in the labour force,206011107,Brunswick West,22
Persons,7,Not in the labour force,206011107,Brunswick West,22
Males,Z,Labour force status not stated,206011107,Brunswick West,0
Females,Z,Labour force status not stated,206011107,Brunswick West,0
Persons,Z,Labour force status not stated,206011107,Brunswick West,0
Males,EMP,Total Employed,206011107,Brunswick West,3
Females,EMP,Total Employed,206011107,Brunswick West,27
Persons,EMP,Total Employed,206011107,Brunswick West,27
Males,UEMP,Total Unemployed,206011107,Brunswick West,0
Females,UEMP,Total Unemployed,206011107,Brunswick West,7
Persons,UEMP,Total Unemployed,206011107,Brunswick West,7
Males,LF,Total Labour Force,206011107,Brunswick West,3
Females,LF,Total Labour Force,206011107,Brunswick West,31
Persons,LF,Total Labour Force,206011107,Brunswick West,34
Males,TOT,Total,206011107,Brunswick West,3
Females,TOT,Total,206011107,Brunswick West,60
Persons,TOT,Total,206011107,Brunswick West,56
Males,1,"Employed, worked full-time",206011108,Coburg,0
Females,1,"Employed, worked full-time",206011108,Coburg,12
Persons,1,"Employed, worked full-time",206011108,Coburg,12
Males,2,"Employed, worked part-time",206011108,Coburg,0
Females,2,"Employed, worked part-time",206011108,Coburg,27
Persons,2,"Employed, worked part-time",206011108,Coburg,24
Males,3,"Employed, away from work",206011108,Coburg,0
Females,3,"Employed, away from work",206011108,Coburg,4
Persons,3,"Employed, away from work",206011108,Coburg,4
Males,4,"Employed, hours of work not stated",206011108,Coburg,0
Females,4,"Employed, hours of work not stated",206011108,Coburg,0
Persons,4,"Employed, hours of work not stated",206011108,Coburg,0
Males,5,"Unemployed, looking for full-time work",206011108,Coburg,0
Females,5,"Unemployed, looking for full-time work",206011108,Coburg,3
Persons,5,"Unemployed, looking for full-time work",206011108,Coburg,4
Males,6,"Unemployed, looking for part-time work",206011108,Coburg,0
Females,6,"Unemployed, looking for part-time work",206011108,Coburg,0
Persons,6,"Unemployed, looking for part-time work",206011108,Coburg,0
Males,7,Not in the labour force,206011108,Coburg,3
Females,7,Not in the labour force,206011108,Coburg,40
Persons,7,Not in the labour force,206011108,Coburg,45
Males,Z,Labour force status not stated,206011108,Coburg,0
Females,Z,Labour force status not stated,206011108,Coburg,0
Persons,Z,Labour force status not stated,206011108,Coburg,0
Males,EMP,Total Employed,206011108,Coburg,0
Females,EMP,Total Employed,206011108,Coburg,36
Persons,EMP,Total Employed,206011108,Coburg,39
