,SA2_MAINCODE_2016,SA2_name,Index of Relative Socio-economic Disadvantage: Score,Male_Lone_Parent_Employed_Worked_Full_Time,Female_Lone_Parent_Employed_Worked_Full_Time,Total_Lone_Parents_Employed_Worked_Full_Time,Male_Lone_Parent_Total_Employed,Female_Lone_Parent_Total_Employed,Total_Lone_Parents_Total_Employed,Male_Lone_Parent_Total_Unemployed,Female_Lone_Parent_Total_Unemployed,Total_Lone_Parents_Total_Unemployed,Male_Lone_Parent_Total,Female_Lone_Parent_Total,Total_Lone_Parents_Total,Female_parent_Employed_worked_Full_time_Male_parent_Employed_Worked_full_time,Female_parent_Employed_worked_Full_time_Male_parent_Employed_Worked_part_time,Female_parent_Employed_worked_Full_time_Male_parent_Unemployed_looking_for_Total,Female_parent_Employed_worked_Full_time_Male_parent_Not_in_the_labour_force,Female_parent_Employed_worked_Full_time_Total,Female_parent_Employed_worked_Part_time_Male_parent_Employed_Worked_full_time,Female_parent_Employed_worked_Part_time_Male_parent_Employed_Worked_part_time,Female_parent_Employed_worked_Part_time_Male_parent_Employed_Total,Female_parent_Employed_worked_Part_time_Total,Female_parent_Employed_away_from_work_Male_parent_Employed_Total,Female_parent_Total_Employed_Male_Parent_Employed_Total,Female_parent_Total_Unemployed_Male_Parent_Employed_Total,Female_parent_Total_Unemployed_Male_Parent_Unemployed_Looking_For_Total,Female_parent_Not_in_the_labour_force_Male_parent_Employed_Total,Female_parent_Not_in_the_labour_force_Male_parent_Not_in_the_labour_force,Female_parent_Total_Total,code,name,total,vulnerable,vulnerable_percentage
0,201021009,Bacchus Marsh Region,1012,0,6,9,3,17,16,0,0,0,3,39,39,22,0,5,4,32,88,7,99,108,22,152,0,0,79,4,261,21009,Bacchus Marsh Region,60,8,0.13
1,201021010,Creswick - Clunes,984,0,3,6,3,11,13,3,0,3,3,43,50,15,3,0,3,15,107,13,119,130,30,172,4,0,88,15,290,21010,Creswick - Clunes,82,8,0.1
2,201021011,Daylesford,1007,0,3,3,0,22,23,0,0,0,0,53,52,9,7,3,3,23,83,24,106,117,28,156,5,0,99,6,285,21011,Daylesford,59,22,0.37
3,201021012,Gordon (Vic.),1023,0,0,0,0,7,7,0,0,0,0,30,36,18,6,0,0,23,71,8,81,88,12,119,3,0,80,10,223,21012,Gordon (Vic.),58,11,0.19
4,202021026,Bendigo Region - South,1063,0,0,0,0,16,16,0,3,3,0,36,36,42,3,0,5,54,148,13,168,174,36,259,8,0,92,4,368,21026,Bendigo Region - South,100,14,0.14
5,202021027,Castlemaine,984,0,0,3,3,18,16,0,0,0,4,72,73,17,3,0,4,28,105,34,141,148,29,198,5,0,131,10,365,21027,Castlemaine,90,34,0.38
6,202021028,Castlemaine Region,1008,0,0,0,0,6,6,0,0,0,3,22,26,16,4,0,0,30,79,18,104,111,14,150,9,0,93,6,272,21028,Castlemaine Region,63,9,0.14
7,202021029,Heathcote,944,0,0,0,0,0,0,0,0,0,0,32,29,20,0,0,0,26,34,8,44,46,6,79,0,0,50,0,137,21029,Heathcote,53,24,0.45
8,202021030,Kyneton,1017,3,3,3,3,22,29,0,0,3,8,47,54,28,6,0,13,52,154,32,186,198,40,272,9,0,132,10,439,21030,Kyneton,107,12,0.11
9,202021031,Woodend,1071,0,3,7,0,12,11,0,0,0,0,25,32,16,5,0,3,28,124,21,144,149,32,204,4,0,102,3,322,21031,Woodend,97,12,0.12
10,203021037,Belmont,998,0,7,12,0,32,37,0,7,7,12,73,83,51,3,3,3,73,254,28,290,296,90,450,12,0,189,25,699,21037,Belmont,137,18,0.13
11,203021038,Corio - Norlane,815,6,18,23,7,106,113,0,31,32,27,537,561,64,3,0,5,77,168,22,191,221,47,312,30,4,348,110,902,21038,Corio - Norlane,285,112,0.39
12,203021039,Geelong,1003,3,10,12,5,34,37,0,3,3,4,93,97,43,13,3,7,68,187,27,215,222,43,321,14,0,144,21,532,21039,Geelong,136,31,0.23
13,203021040,Geelong West - Hamlyn Heights,1009,5,6,11,5,48,51,0,3,3,8,112,123,88,12,5,7,120,381,42,425,436,131,671,29,0,291,22,1059,21040,Geelong West - Hamlyn Heights,243,44,0.18
14,203021041,Grovedale,1030,9,11,20,8,75,89,0,4,4,11,156,170,131,21,5,14,175,460,45,505,520,98,765,30,0,377,21,1252,21041,Grovedale,295,43,0.15
15,203021042,Highton,1077,3,13,15,7,39,41,0,4,4,7,80,84,124,18,3,9,159,440,32,474,487,120,754,31,3,282,23,1132,21042,Highton,228,31,0.14
16,203021043,Lara,1027,5,10,14,8,59,72,0,0,0,14,130,138,108,11,3,5,131,327,14,359,372,89,575,15,0,298,11,939,21043,Lara,231,39,0.17
17,203021044,Leopold,1019,0,10,7,3,57,60,3,11,13,4,112,123,74,10,0,4,89,289,25,323,331,80,498,19,3,214,19,770,21044,Leopold,172,31,0.18
18,203021045,Newcomb - Moolap,913,9,9,15,10,46,61,0,6,6,16,175,188,35,3,0,0,43,132,11,156,160,48,243,20,0,147,35,470,21045,Newcomb - Moolap,147,60,0.41
19,203021046,Newtown (Vic.),1070,3,9,10,4,15,16,0,0,0,4,31,36,45,19,0,3,73,193,14,207,211,52,330,10,0,117,6,479,21046,Newtown (Vic.),124,17,0.14
20,203021047,North Geelong - Bell Park,954,6,10,16,5,44,54,0,16,13,12,130,148,56,8,0,6,78,191,36,240,243,63,377,17,0,191,18,628,21047,North Geelong - Bell Park,156,33,0.21
21,204021063,Benalla,928,3,4,6,3,33,34,0,8,8,3,131,134,26,9,3,4,36,92,7,103,112,23,165,9,0,94,9,304,21063,Benalla,90,21,0.23
22,204021064,Benalla Region,1016,0,0,0,0,3,3,0,0,0,3,16,22,8,5,0,0,19,51,4,51,51,16,82,0,0,41,8,134,21064,Benalla Region,29,7,0.24
23,204021065,Rutherglen,974,3,0,0,3,6,8,0,0,0,3,15,24,13,8,0,0,15,49,5,58,58,20,91,0,0,44,4,142,21065,Rutherglen,37,7,0.19
24,204021066,Wangaratta,958,3,7,12,8,53,63,3,9,14,18,181,196,75,8,0,7,90,260,34,301,306,69,467,17,0,206,32,751,21066,Wangaratta,220,27,0.12
25,204021067,Wangaratta Region,1031,0,0,0,3,12,18,0,0,0,3,39,40,41,3,0,3,56,162,8,178,181,38,265,6,0,95,10,391,21067,Wangaratta Region,104,14,0.13
26,205021081,Bairnsdale,953,0,4,7,4,34,41,0,8,14,12,160,173,40,10,0,7,61,184,24,212,222,57,328,7,0,201,21,589,21081,Bairnsdale,164,43,0.26
27,205021084,Lakes Entrance,951,3,5,3,3,19,24,0,0,3,4,64,69,16,5,4,5,28,94,23,123,137,32,177,3,3,93,10,313,21084,Lakes Entrance,116,21,0.18
28,205021085,Orbost,920,0,3,3,0,16,16,0,0,0,0,39,41,9,0,0,3,14,57,9,65,65,11,87,3,0,66,12,183,21085,Orbost,56,15,0.27
29,205021086,Paynesville,987,0,0,3,0,11,15,0,0,0,0,38,43,5,4,0,0,16,55,6,60,63,11,84,0,0,69,5,163,21086,Paynesville,47,9,0.19
30,206021110,Alphington - Fairfield,1073,3,7,10,3,20,16,0,0,0,3,30,34,46,14,0,7,66,146,16,158,168,36,258,8,0,112,3,395,21110,Alphington - Fairfield,103,12,0.12
31,206021111,Northcote,1064,3,10,13,3,45,47,0,4,4,3,66,69,165,33,0,11,212,391,94,491,500,114,802,29,3,259,25,1157,21111,Northcote,250,33,0.13
32,206021112,Thornbury,1038,4,14,16,10,38,47,0,0,0,9,79,86,99,16,3,3,127,330,47,383,392,114,613,20,0,224,13,914,21112,Thornbury,183,26,0.14
33,207021156,Bulleen,1047,0,0,3,0,16,18,0,0,0,0,33,36,59,3,0,7,73,126,21,147,152,42,252,14,0,159,19,470,21156,Bulleen,70,7,0.1
