,SA2_MAINCODE_2016,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,Male_Lone_Parent_Employed_Worked_Full_Time,Male_Lone_Parent_Employed_Worked_Part_Time,Male_Lone_Parent_Employed_Away_From_Work,Male_Lone_Parent_Hours_Worked_Not_Stated,Male_Lone_Parent_Total_Employed,Male_Lone_Parent_Unemployed_Looking_For_Full_Time_Work,Male_Lone_Parent_Unemployed_Looking_For_Part_Time_Work,Male_Lone_Parent_Total_Unemployed,Male_Lone_Parent_Total_Labour_Force,Male_Lone_Parent_Not_In_The_Labour_Force,Male_Lone_Parent_Labour_Force_Status_Not_Stated,Male_Lone_Parent_Total,Female_Lone_Parent_Employed_Worked_Full_Time,Female_Lone_Parent_Employed_Worked_Part_Time,Female_Lone_Parent_Employed_Away_From_Work,Female_Lone_Parent_Hours_Worked_Not_Stated,Female_Lone_Parent_Total_Employed,Female_Lone_Parent_Unemployed_Looking_For_Full_Time_Work,Female_Lone_Parent_Unemployed_Looking_For_Part_Time_Work,Female_Lone_Parent_Total_Unemployed,Female_Lone_Parent_Total_Labour_Force,Female_Lone_Parent_Not_In_The_Labour_Force,Female_Lone_Parent_Labour_Force_Status_Not_Stated,Female_Lone_Parent_Total,Total_Lone_Parents_Employed_Worked_Full_Time,Total_Lone_Parents_Employed_Worked_Part_Time,Total_Lone_Parents_Employed_Away_From_Work,Total_Lone_Parents_Hours_Worked_Not_Stated,Total_Lone_Parents_Total_Employed,Total_Lone_Parents_Unemployed_Looking_For_Full_Time_Work,Total_Lone_Parents_Unemployed_Looking_For_Part_Time_Work,Total_Lone_Parents_Total_Unemployed,Total_Lone_Parents_Total_Labour_Force,Total_Lone_Parents_Not_In_The_Labour_Force,Total_Lone_Parents_Labour_Force_Status_Not_Stated,Total_Lone_Parents_Total,SA2_name,Index of Relative Socio-economic Disadvantage_score,Index of Relative Socio-economic Disadvantage_decile,Index of Relative Socio-economic Adv and Disadv_score,Index of Relative Socio-economic Adv and Disadv_decile,Index of Economic Resources_score,Index of Economic Resources_decile,Index of Education and Occupation_score,Index of Education and Occupation_decile,Usual Resident Population,code,name,total,vulnerable,vulnerable_percentage
0,201011001,64,12,0,3,74,0,0,0,78,3,0,85,281,16,4,0,308,3,0,3,315,5,0,314,70,3,3,0,82,0,0,0,82,0,0,82,4,0,0,0,9,0,0,0,9,0,0,9,425,37,13,6,469,3,3,6,476,8,0,482,3,0,0,0,3,3,0,3,9,0,0,9,9,0,0,0,9,0,0,0,9,0,0,9,14,0,0,0,14,3,0,3,15,0,0,15,433,37,13,6,485,7,3,7,492,8,0,499,155,23,0,5,184,0,0,0,182,10,0,190,0,0,0,0,0,0,0,0,0,0,0,0,593,53,12,10,667,11,3,11,679,13,0,696,3,0,0,0,3,0,0,0,3,0,0,3,3,27,0,0,34,0,3,3,31,43,0,77,3,27,0,0,36,0,3,3,34,47,0,82,Alfredton,1045,7,1025,7,1037,8,1022.0,7.0,11654.0,21001,Alfredton,154,12,0.08
1,201011002,49,10,0,0,59,0,0,0,59,0,0,64,167,34,0,0,200,0,0,4,202,7,0,210,39,6,4,0,45,0,0,0,44,0,0,44,0,0,0,0,3,0,0,0,3,0,0,3,256,50,6,0,305,3,0,7,312,8,0,320,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,4,0,0,0,4,0,0,4,258,50,6,0,316,3,0,7,316,8,0,324,100,12,0,5,120,3,0,3,125,9,0,133,3,3,0,0,5,0,0,0,5,0,0,6,367,58,5,5,442,10,0,6,447,14,0,466,5,0,0,0,5,0,0,0,5,3,0,9,0,23,4,0,26,7,0,9,32,36,0,71,5,23,4,0,32,7,0,9,39,35,0,77,Ballarat,1035,7,1037,7,975,4,1088.0,9.0,12046.0,21002,Ballarat,116,7,0.06
2,201011003,86,16,0,0,107,3,0,3,104,9,0,117,407,45,0,4,454,0,4,4,458,12,0,472,106,8,8,0,122,0,0,0,122,0,0,121,3,0,0,5,7,0,0,0,7,0,0,8,602,65,11,7,687,3,4,5,691,21,0,711,3,0,0,0,3,0,0,0,3,0,0,3,12,0,0,0,15,0,0,0,15,0,0,15,12,0,0,0,17,0,0,0,17,0,0,17,620,68,11,7,706,3,4,5,708,21,0,728,294,22,9,5,332,10,4,13,346,31,0,379,0,0,0,0,0,0,0,0,0,0,7,3,912,90,17,14,1036,17,5,20,1061,51,7,1116,7,0,0,0,10,3,0,3,8,3,0,12,7,52,3,0,63,3,12,13,74,111,3,192,16,53,3,0,71,8,12,18,87,110,0,198,Ballarat - North,999,5,983,5,972,4,1010.0,6.0,23083.0,21003,Ballarat - North,282,19,0.07
3,201011004,66,15,3,0,88,4,3,5,92,10,0,99,372,44,10,0,421,3,0,3,429,15,0,442,73,9,14,0,91,0,0,0,95,3,0,93,7,0,0,8,13,0,0,0,13,0,0,12,515,66,19,7,608,6,6,12,618,25,0,647,9,0,0,0,7,0,0,0,10,0,0,15,8,4,0,0,13,0,0,0,13,0,0,17,18,7,0,0,25,0,0,3,23,3,0,26,532,72,19,8,633,10,3,13,649,29,0,677,252,46,14,0,307,32,0,32,340,52,0,391,0,0,0,3,3,0,0,0,4,0,3,4,780,115,30,12,946,36,7,42,991,80,5,1070,7,3,0,0,6,0,0,0,9,13,0,19,15,71,12,0,101,3,13,15,114,251,5,373,18,67,12,0,108,3,17,22,126,261,5,388,Ballarat - South,926,2,912,2,904,1,946.0,4.0,24231.0,21004,Ballarat - South,281,24,0.09
4,201011005,30,0,0,0,34,0,0,0,32,3,0,34,122,21,0,0,146,0,0,0,148,0,0,148,36,3,9,0,45,0,0,0,46,0,0,46,0,0,0,0,3,0,0,0,3,0,0,3,195,24,11,3,225,0,0,5,231,3,0,229,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8,0,0,0,8,0,0,8,7,0,0,0,8,0,0,0,8,0,0,8,198,24,11,3,235,0,0,5,243,3,0,246,96,3,3,0,108,0,0,0,109,4,0,109,0,0,0,0,0,0,0,0,0,0,0,0,300,30,9,3,343,4,0,3,351,3,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,0,0,0,10,17,0,24,0,6,0,0,9,0,0,0,9,17,0,29,Buninyong,1066,9,1051,8,1048,8,1065.0,8.0,7153.0,21005,Buninyong,107,12,0.11
5,201011006,43,4,0,0,50,0,0,0,50,7,0,54,145,9,0,4,159,3,0,3,158,3,0,160,25,3,3,0,25,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,206,22,3,3,234,3,0,3,234,8,0,246,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,7,0,0,7,7,0,0,0,9,0,0,0,10,0,0,8,213,18,3,3,239,3,0,0,242,9,0,251,62,10,3,0,68,3,0,3,75,15,0,87,0,0,0,0,0,0,0,0,0,0,0,0,269,26,4,3,310,9,0,8,313,25,0,339,0,0,0,0,3,0,0,0,3,0,0,3,3,23,4,0,27,0,7,10,35,47,0,88,3,23,4,0,28,0,7,10,38,52,0,89,Delacombe,968,3,940,3,985,4,928.0,3.0,7082.0,21006,Delacombe,103,15,0.15
6,201011007,21,3,0,0,17,0,0,0,17,0,0,17,61,6,0,0,65,0,0,0,65,0,0,72,19,0,0,4,20,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,98,10,0,4,114,0,0,0,114,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,10,0,4,112,0,0,0,112,0,0,111,58,3,3,3,69,0,0,0,69,3,0,70,0,0,0,0,0,0,0,0,0,0,0,0,155,10,4,3,177,0,0,0,177,3,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,9,3,0,15,0,0,0,0,3,0,4,4,9,3,0,15,Smythes Creek,1052,8,1012,6,1078,9,971.0,5.0,3932.0,21007,Smythes Creek,50,3,0.06
7,201011008,46,11,0,0,63,0,0,3,65,3,0,70,257,33,0,0,290,3,0,7,292,8,0,308,31,16,0,0,52,0,0,0,52,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,340,58,3,0,406,8,0,7,410,13,0,426,3,0,0,0,5,0,0,0,8,0,0,6,3,0,0,0,3,0,0,0,3,0,0,9,3,5,0,0,11,0,0,0,13,3,0,17,347,68,3,0,417,8,0,10,427,17,0,445,161,24,3,7,195,15,5,20,221,33,0,252,0,0,0,0,0,0,0,0,0,0,0,0,505,87,9,6,615,22,9,33,642,55,0,697,3,0,0,0,3,0,0,0,3,5,0,5,9,36,3,0,47,0,16,16,61,153,0,221,13,36,3,0,50,0,16,16,63,159,0,227,Wendouree - Miners Rest,906,2,888,1,912,1,895.0,1.0,14633.0,21008,Wendouree - Miners Rest,182,42,0.23
8,201021009,22,0,0,0,22,0,0,5,28,4,0,32,88,7,3,0,99,6,0,6,108,0,0,108,18,3,0,0,22,0,0,0,22,0,0,19,0,0,0,0,3,0,0,0,3,0,0,3,131,13,7,0,152,5,0,7,155,6,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,13,7,0,150,5,0,7,157,6,0,167,64,19,0,0,79,5,0,5,91,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,201,28,7,0,235,10,0,14,243,12,0,261,0,0,0,0,3,0,0,0,3,0,0,3,6,9,0,0,17,0,0,0,16,25,0,39,9,7,0,0,16,0,0,0,17,25,0,39,Bacchus Marsh Region,1012,6,994,5,1034,7,982.0,5.0,5870.0,21009,Bacchus Marsh Region,60,6,0.1
9,201021010,15,3,0,0,12,0,0,0,12,3,0,15,107,13,0,0,119,3,0,3,127,3,0,130,21,5,4,0,30,0,0,0,30,0,0,30,3,0,0,3,5,0,0,0,5,0,0,5,139,21,4,3,172,3,0,3,171,7,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,6,0,0,0,4,0,0,0,4,0,0,4,144,21,4,6,171,3,0,3,178,7,0,187,72,13,3,3,88,3,0,3,91,15,0,103,0,0,0,0,0,0,0,0,0,0,0,0,212,34,11,4,265,7,0,7,271,17,0,290,0,0,0,0,3,3,0,3,3,0,0,3,3,10,0,0,11,0,0,0,11,29,0,43,6,12,0,0,13,3,0,3,18,33,0,50,Creswick - Clunes,984,4,961,4,990,5,984.0,5.0,7821.0,21010,Creswick - Clunes,82,3,0.04
